AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
19.36057,-0.04186768,1.469074,-0.015006,0.05903347,-0.02039407,0.00537091,0.00537091,False,False,-3.464759,1.174704,2.044477,0.140447,-0.352654,-0.9251478,19.35373,-0.1026158,0.8931422,0.174916,0.01959633,0.4453146,-0.03777243,0.1486337,0.1486337,0.09562063,0.8989492,0.1601181,0.01363519,0.3417569,0.1841805,-0.08951791,-0.08951791,
19.39569,-0.04322462,1.467349,-0.01305614,0.06665655,-0.0297747,0.005326909,0.005326909,False,False,-3.467278,1.172466,2.042305,0.1455432,-0.3636316,-0.9200926,19.38913,-0.1026022,0.893204,0.1746609,0.02030201,0.4444959,-0.03963226,0.1496317,0.1496317,0.09513712,0.8985723,0.1598074,0.01572659,0.342887,0.1837239,-0.08921494,-0.08921494,
19.42577,-0.04457475,1.464539,-0.01172006,0.07866735,-0.03874135,0.006061326,0.006061326,False,False,-3.464262,1.170381,2.040803,0.1246075,-0.3568288,-0.9258128,19.41928,-0.1035855,0.8928883,0.1734986,0.03624585,0.4451548,-0.04219839,0.1505568,0.1505568,0.09458065,0.8983763,0.1597562,0.01889036,0.3440396,0.1829057,-0.08852497,-0.08852497,
19.46369,-0.04615671,1.46159,-0.01066515,0.09275023,-0.0475265,0.007647687,0.007647687,False,False,-3.467697,1.167859,2.038157,0.1470223,-0.3096827,-0.9393906,19.45728,-0.1042879,0.8928368,0.1728477,0.03882549,0.4446877,-0.0445774,0.1528609,0.1528609,0.09340745,0.8985246,0.1605183,0.03236442,0.3433183,0.1799824,-0.08772066,-0.08772066,
19.49556,-0.04777996,1.458754,-0.009346751,0.1040221,-0.0565503,0.009508905,0.009508905,False,False,-3.46868,1.165236,2.036327,0.217376,-0.4404868,-0.8710387,19.48967,-0.1059178,0.8926133,0.1715188,0.04699508,0.4442067,-0.04741579,0.1549881,0.1549881,0.09171605,0.8988869,0.1613462,0.04683901,0.3425651,0.1756524,-0.08648042,-0.08648042,
19.52909,-0.0492368,1.455978,-0.008526276,0.1151371,-0.06576485,0.01167143,0.01167143,False,False,-3.480776,1.16284,2.032644,0.2782618,-0.5558224,-0.7833283,19.52166,-0.1072247,0.8923411,0.170386,0.05562613,0.4441216,-0.05105196,0.1558055,0.1558055,0.09025598,0.8989143,0.1619346,0.04985303,0.3421728,0.1721433,-0.0844003,-0.0844003,
19.56149,-0.05071373,1.453553,-0.007532833,0.1239231,-0.07496997,0.01250597,0.01250597,False,False,-3.481111,1.160328,2.030433,0.2963271,-0.5765337,-0.7614371,19.55507,-0.1086566,0.8923415,0.1694826,0.05103616,0.4423467,-0.05475599,0.1574253,0.1574253,0.08825183,0.8990748,0.1626503,0.05528918,0.3413693,0.1674228,-0.08207456,-0.08207456,
19.59414,-0.05195875,1.450754,-0.00679113,0.1341124,-0.083071,0.01272841,0.01272841,False,False,-3.457091,1.157263,2.033451,0.2791178,-0.59162,-0.7563368,19.58744,-0.1097569,0.8922426,0.1686493,0.04698133,0.4410324,-0.05765829,0.1596836,0.1596836,0.0866397,0.8989322,0.1629363,0.05281918,0.3414771,0.1631749,-0.08073177,-0.08073177,
19.62776,-0.05319665,1.448507,-0.00582109,0.1420551,-0.090517,0.01205855,0.01205855,False,False,-3.465119,1.154909,2.030036,0.2532123,-0.5811642,-0.7733789,19.62195,-0.1114764,0.8920534,0.167169,0.05076965,0.4405897,-0.06159134,0.1623828,0.1623828,0.08510804,0.8987204,0.1635793,0.0497013,0.34234,0.159558,-0.07950255,-0.07950255,
19.6626,-0.05412589,1.446474,-0.005001514,0.1477892,-0.09746817,0.01103844,0.01103844,False,False,-3.457698,1.152405,2.030084,0.275704,-0.5691413,-0.7746309,19.65636,-0.1129006,0.8918682,0.166002,0.05114583,0.4394895,-0.06546156,0.1639695,0.1639695,0.08342195,0.8984462,0.1639698,0.04898786,0.3425993,0.1558111,-0.07713376,-0.07713376,
19.69968,-0.05497744,1.44492,-0.004414669,0.1534496,-0.1033007,0.009730829,0.009730829,False,False,-3.454104,1.15013,2.029429,0.260275,-0.5472249,-0.7954778,19.69378,-0.1136972,0.8913975,0.1648746,0.04871272,0.4387712,-0.06905124,0.166529,0.166529,0.08232796,0.8982314,0.1646729,0.04548739,0.3427899,0.1515281,-0.07624481,-0.07624481,
19.73253,-0.05590289,1.44363,-0.003603417,0.1554602,-0.1094454,0.008737686,0.008737686,False,False,-3.459593,1.148265,2.026767,0.2754453,-0.5546589,-0.7851415,19.72679,-0.1141754,0.8908319,0.1638532,0.047686,0.4389578,-0.07276425,0.1694765,0.1694765,0.08109611,0.8980197,0.1655912,0.04325873,0.3437859,0.1473891,-0.0751743,-0.0751743,
19.76363,-0.05653609,1.442306,-0.003270789,0.1603986,-0.1149134,0.008481211,0.008481211,False,False,-3.468239,1.146709,2.022976,0.2742135,-0.5600227,-0.781769,19.75725,-0.1146616,0.8903347,0.1628201,0.04704428,0.4401739,-0.07652154,0.1717288,0.1717288,0.07979846,0.8978056,0.1661345,0.0407093,0.3444065,0.1431153,-0.07432558,-0.07432558,
19.79614,-0.05732072,1.441686,-0.002578731,0.1618454,-0.1194253,0.007984463,0.007984463,False,False,-3.467921,1.145247,2.021873,0.230788,-0.5621794,-0.794145,19.7902,-0.1148771,0.8903869,0.1627061,0.03106624,0.4396594,-0.07917754,0.1735778,0.1735778,0.07887709,0.8983744,0.1671603,0.03959898,0.3436914,0.1401378,-0.07297447,-0.07297447,
19.82591,-0.05750006,1.441072,-0.002542728,0.1638645,-0.1207243,0.008529011,0.008529011,False,False,-3.469188,1.143979,2.020499,0.2587177,-0.568922,-0.7806279,19.82011,-0.114655,0.8907009,0.162716,0.01892337,0.4377774,-0.08129095,0.1750934,0.1750934,0.07755816,0.8988718,0.1675259,0.03771788,0.3427229,0.1373484,-0.07175762,-0.07175762,
