AppTime;HMDPos_x,HMDPos_y,HMDPos_z;MDRot_x,HMDRot_y,HMDRot_z,HMDRot_w;EyePos_x,EyePos_y,EyePos_z;LeftPos_x,LeftPos_y,LeftPos_z;LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w;RightPos_x,RightPos_y,RightPos_z;RightRot_x,RightRot_y,RightRot_z,RightRot_w;
52.0842;0.5556987,1.473759,0.05460593;-0.07241003,0.6923137,0.005356834,0.7179345;-3.705072,1.174058,2.089785;0.6023279,0.6709171,0.2507315;-0.07185665,0.7506552,-0.4742658,0.4543406;0.5980284,0.6365786,-0.1007795;0.500292,0.4409397,-0.003863595,0.7451612;
52.09604;0.5556504,1.473738,0.0546385;-0.07183467,0.6917922,0.005059745,0.7184968;-3.70384,1.171564,2.109384;0.6008604,0.6692264,0.2488882;-0.07187428,0.7570702,-0.4763274,0.4413514;0.5987188,0.6368573,-0.1001877;0.498441,0.4394701,-0.001789486,0.7472747;
52.10743;0.5555971,1.473711,0.05469018;-0.0712717,0.6913463,0.004687442,0.7189844;-3.704299,1.172833,2.100442;0.5999347,0.6689016,0.2482981;-0.07356053,0.7624405,-0.4772917,0.4306576;0.599402,0.6370319,-0.1000622;0.4978383,0.4400887,-0.0005736428,0.7473143;
52.11832;0.5555091,1.473679,0.05478519;-0.07062358,0.6908394,0.004003286,0.7195396;-3.703978,1.172483,2.103702;0.5984646,0.6672996,0.2466234;-0.0752626,0.7677183,-0.4798181,0.4179938;0.6000522,0.6368942,-0.1001534;0.4985844,0.4416093,-0.000237206,0.7459188;
52.1284;0.5555729,1.473565,0.05478853;-0.07000896,0.6903409,0.003332913,0.7200813;-3.704101,1.173124,2.099325;0.5965644,0.6658507,0.2450573;-0.07719819,0.7724952,-0.4828464,0.4051557;0.6002909,0.6367763,-0.1002789;0.4996935,0.442375,0.000336732,0.7447219;
52.14218;0.5555173,1.473433,0.05484454;-0.0693655,0.6897873,0.002641281,0.7206768;0.594915,0.6645176,0.2437468;-0.07893788,0.7768767,-0.4855693,0.3930062;0.6010439,0.6363844,-0.1009226;0.5025538,0.4439855,-0.0007714695,0.7418329;
52.15232;0.5554314,1.473331,0.05485107;-0.06867894,0.6892041,0.002101677,0.721302;-3.704773,1.175042,2.085389;0.5931253,0.6627785,0.2424305;-0.0800162,0.7807721,-0.4893742,0.3801385;0.6010669,0.6360457,-0.1013876;0.5056456,0.4451022,-0.002114134,0.739055;
52.16319;0.5553648,1.47324,0.05489281;-0.06799193,0.6886418,0.001595865,0.7219052;-3.705183,1.175923,2.078384;0.5912801,0.6611735,0.2413596;-0.08007234,0.7840911,-0.4933453,0.3679675;0.6017431,0.6359772,-0.1017962;0.5076789,0.4449192,-0.002479912,0.7377689;
52.17302;0.5553191,1.473184,0.05492357;-0.06746691,0.6880629,0.001222288,0.7225069;-3.705102,1.175141,2.083908;0.589527,0.6596063,0.2404;-0.07897519,0.7869381,-0.4974766,0.3563824;0.6014917,0.6358021,-0.1020275;0.5090894,0.4451548,-0.004435992,0.7366448;
52.1846;0.5551993,1.47313,0.05493587;-0.0671487,0.6874879,0.0009300886,0.723084;-3.704631,1.174009,2.092509;0.5872902,0.6582235,0.2398245;-0.07658839,0.7894167,-0.5015605,0.3455322;0.6010398,0.635663,-0.1021474;0.5090857,0.4447956,-0.006358154,0.7368503;
